0 0.64 0.64 0 0.32 0 0 0 0 0 0 0.64 0 0 0 0.32 0 1.29 1.93 0 0.96 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.778 0 0 3.756 61 278 1
0 0 0 0 0.63 0 0.31 0.63 0.31 0.63 0.31 0.31 0.31 0 0 0.31 0 0 3.18 0 0.31 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.135 0 0.135 0 0 3.537 40 191 1
0 0 0 0 1.85 0 0 1.85 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.223 0 0 0 0 3 15 54 1
0 0 0 0 1.92 0 0 0 0 0.64 0.96 1.28 0 0 0 0.96 0 0.32 3.85 0 0.64 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.054 0 0.164 0.054 0 1.671 4 112 1
0 0 0 0 0 0 0.96 0 0 1.92 0.96 0 0 0 0 0 0 0.96 3.84 0 0.96 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.96 0 0 0 0 0 0 0 0 0 0 0 0.462 0 0 1.312 6 21 1
0 0 0.25 0 0.38 0.25 0.25 0 0 0 0.12 0.12 0.12 0 0 0 0 0 1.16 0 0.77 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.022 0.044 0 0.663 0 0 1.243 11 184 1
0 0 0 0 2.94 0 0 0 0 0 0 0 0 0 0 2.94 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.404 0.404 0 0.809 0 0 4.857 12 34 1
0 0 0 0 1.16 0 0 0 0 0 0 0.58 0 0 0 1.16 0 1.16 1.16 0 1.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.133 0 0.667 0 0 1.131 5 69 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.44 0 0 0 0 0.196 0 0.392 0.196 0 5.466 22 82 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.33 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.352 0 0.352 0 0 4 11 36 1
1.17 0 0 0 0 0 0 0 0 0 0 1.17 0 0 0 0 1.17 0 3.52 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.17 0 0 0 0 0 0 0.886 0 0 1.966 10 59 1
0 0 0 0 1.89 0.27 0 0 0 0 0 0.81 0 0 0 0.27 0 0 3.51 0 2.7 0 0 0.27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.045 0 0 0.091 0 1.39 11 89 1
0 0.41 1.66 0 0.41 0 0 0 0 0 0 0.41 0 0 0 0.41 0 0.83 2.08 0 1.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.41 0 0 0 0 0.068 0 0.75 0 0 3.851 121 285 1
0.49 0 0.99 0 0 0.99 0 0 0 0.99 0.99 2.48 0.49 0 0 4.97 0.99 0 3.48 0 1.99 0 0.49 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.34 0 0.17 0 0 1.468 8 94 1
0 1.92 0 0 1.92 0 0 0 0 0 0 1.92 0 0 0 0 0 0 1.92 0 3.84 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.75 12 33 1
0 0 0 0 0 0 1.04 0 0 0 0 1.04 0 0 0 0 1.04 0 3.66 0 2.09 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.061 0.246 0 0.615 0.061 0.061 3.318 59 146 1
0.23 0 0.47 0 0.23 0 0 0 0 0 0 0 0 0.23 0 0.23 0.23 0 7.1 0 1.89 0 0 0.23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.71 0 0 0 0.043 0.043 0 0.175 0 0 1.294 11 66 1
0 0 0.46 0 1.39 0 0.93 0.93 0 0 0.46 0.93 0 0 0 1.39 0 0.46 0.93 0 0.46 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.46 0 0 0 0 0 0 0 0 0 0 0.069 0 0 0 0 0.069 1.442 8 75 1
0 0.34 0 0 0.68 0 0.68 0 0 0.34 0.34 0 0 0 0 0.34 0 1.36 3.42 0 2.73 0 0 0 0.34 0.34 0 0 0 0 0 0 0.34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.048 0.048 0 1.411 15 96 1
0 0 0 0 0 0 1.47 0 0 1.47 0 1.47 0 0 0 0 0 0 5.88 0 1.47 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 1.214 3 17 1
0 0 0.48 0 1.44 0 0.48 0 0 0 0 0.96 0 0 0 0.48 0.96 0 2.41 0 2.41 0 0.48 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.48 0 0 0 0 0.081 0 0.486 0.243 0 5.13 78 236 1
0 0.41 0.2 0 1.67 0.2 0.2 0 0 1.04 0.2 0 0.2 0 0 0.83 0.2 0 2.09 0 0.62 0 0.62 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.41 0.62 0 0.2 0 0 0 0.132 0 0 1.65 15 175 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.26 5.26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.338 0 1.666 5 10 1
